"node";"product";"node_type";"p_order";"p_Stock";"p_manufacturing";"availability";"robustness";"consequence";"not_available";"risk";"iteration"
"1132767";"T1";"Raw Material";0,562178083193154;0;0;0,562178083193154;0,820863309513114;0,179136690486886;0,437821916806846;0,0784299691994033;0
"T1";"T1";"Final Product";0;0;0,0085202368127936;0,0085202368127936;0,803483065494342;0,196516934505658;0,991479763187206;0,194842563685946;0
"11308154";"T1";"Raw Material";0,965500014486941;0;0;0,965500014486941;0,820863309513114;0,179136690486886;0,0344999855130588;0,00618021322665487;0
"11312768";"T1";"Raw Material";0,812395759267984;0;0;0,812395759267984;0,820863309513114;0,179136690486886;0,187604240732016;0,0336068028060385;0
"11313671";"T1";"Raw Material";0,719060938937926;0;0;0,719060938937926;0,820863309513114;0,179136690486886;0,280939061062074;0,0503264936271533;0
"11313747";"T1";"Raw Material";0,409213048309706;0;0;0,409213048309706;0,820863309513114;0,179136690486886;0,590786951690294;0,105831619308635;0
"11315086";"T1";"Raw Material";0,409196164235342;0;0;0,409196164235342;0,820863309513114;0,179136690486886;0,590803835764658;0,105834643865839;0
"11315160";"T1";"Raw Material";0,34065852851774;0;0;0,34065852851774;0,820863309513114;0,179136690486886;0,65934147148226;0,118112249102086;0
"11318457";"T1";"Inner Product";0;0;0,720780508220246;0,720780508220246;0,772596786131399;0,227403213868601;0,279219491779754;0,0634954098054735;0
"11318443";"T1";"Inner Product";0;0;0,795650804457232;0,795650804457232;0,772596786131399;0,227403213868601;0,204349195542768;0,0464696638178887;0
"11552755";"T1";"Inner Product";0;0;0,906323302042455;0,906323302042455;0,755322017888293;0,244677982111707;0,0936766979575454;0,02292062542714;0
"11334659";"T2";"Raw Material";0,906323302042455;0;0;0,906323302042455;0,334734074303025;0,665265925696975;0,0936766979575454;0,0623199151829624;0
"11334659";"T1";"Raw Material";0,906323302042455;0;0;0,906323302042455;0,334734074303025;0,665265925696975;0,0936766979575454;0,0623199151829624;0
"11313665";"T1";"Raw Material";0,720780508220246;0;0;0,720780508220246;0,790315927453994;0,209684072546006;0,279219491779754;0,0585478801706047;0
"11315892";"T1";"Raw Material";0,795650804457232;0;0;0,795650804457232;0,790315927453994;0,209684072546006;0,204349195542768;0,0428487715429077;0
